Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
14316,178,16,2016,2,89,0,0,0.03,0
14347,24,13,2015,7,130,0,0,0.03,0
14360,71,22,2010,1,2,0,0,0.03,0
14374,472,10,2011,4,137,0,0.02,0,0.01
14380,174,15,2006,0,137,0,0,0.03,0
14464,404,16,2015,1,124,0,0,0.03,0
14516,85,12,2009,1,120,0,0,0.03,0
14534,204,12,2008,1,63,0,0,0.03,0
14557,35,1,2013,0,109,0.02,0.01,0,0
14562,234,16,2015,7,32,0,0,0.03,0
14563,375,5,2001,0,135,0.02,0.01,0,0
14622,529,22,2011,3,84,0.03,0,0,0
14627,99,22,2010,8,27,0,0,0.03,0
14638,466,10,2016,11,100,0,0.03,0,0
14720,188,20,2007,0,89,0,0,0.03,0
14730,211,15,2011,3,63,0,0,0.03,0
14748,365,12,2001,3,72,0,0,0.03,0
14818,405,11,1999,6,65,0.01,0.01,0,0
14825,27,20,2007,10,16,0.02,0,0,0
14827,183,5,2005,3,143,0.02,0.01,0,0
14842,311,12,2005,7,119,0.01,0.01,0,0
14852,272,3,2006,7,137,0.02,0,0,0
14865,385,20,2008,10,89,0,0,0.03,0
14901,498,18,1994,0,20,0,0,0.03,0
14956,77,23,2005,8,40,0.02,0.01,0,0
14973,469,3,2010,0,68,0,0,0.02,0
15011,185,20,2008,4,64,0.02,0,0,0
15019,478,13,2016,3,89,0,0,0.02,0
15072,147,10,2011,5,104,0.02,0,0,0
15080,274,20,2008,5,36,0.02,0,0,0
15090,517,10,2009,11,135,0,0.02,0,0
15105,214,15,2009,1,130,0,0,0.02,0
15112,196,10,2009,1,135,0,0.02,0,0
15128,515,11,2002,7,127,0,0,0.02,0
15134,427,10,2010,8,38,0,0.02,0,0
15136,400,6,2002,10,86,0.02,0,0,0
15192,218,15,2011,1,108,0,0,0.02,0
15232,161,10,2004,7,135,0,0.02,0,0
15233,64,6,2004,0,19,0.02,0,0,0
15302,294,3,2006,7,72,0,0,0.02,0
15304,48,11,1996,1,30,0.01,0.01,0,0
15316,391,15,2007,5,35,0.01,0,0,0
15412,102,10,2016,7,115,0,0.02,0,0
15421,471,20,2006,5,122,0.01,0,0,0
15430,506,10,2006,9,42,0,0.01,0,0
15438,93,10,2012,5,47,0,0.02,0,0
15453,559,3,2014,0,89,0.02,0,0,0
15484,11,14,2016,1,82,0.01,0.01,0,0
15508,377,11,2000,8,89,0.01,0.01,0,0
15532,299,22,2012,0,135,0.02,0,0,0
15538,187,19,1995,8,61,0,0,0.02,0
15574,569,10,2009,11,103,0.02,0,0,0
15604,79,10,2008,11,42,0,0.01,0,0
15626,382,15,2011,1,12,0,0,0.02,0
15662,574,12,2006,3,141,0,0,0.02,0
15683,152,15,2006,7,72,0,0,0.02,0
15700,435,3,2006,3,72,0,0,0.02,0
15720,561,23,2006,8,26,0.01,0,0,0
15728,110,10,2010,11,70,0,0.01,0,0
15740,360,3,2008,1,59,0,0,0.02,0
15742,171,22,2006,10,111,0,0.01,0,0
15745,325,3,2009,9,1,0.01,0,0,0
15775,84,15,2007,5,35,0.02,0,0,0
15812,545,22,2015,10,23,0,0.02,0,0
15862,527,20,2012,0,7,0,0.01,0,0
15867,433,12,2007,1,107,0,0,0.02,0
15942,29,13,2015,0,89,0,0.01,0,0
15943,571,14,2016,0,113,0.01,0.01,0,0
15966,434,10,2007,9,74,0,0.01,0,0
16022,190,14,2016,0,89,0,0,0.01,0
16042,200,12,2006,1,114,0,0,0.01,0
16064,107,10,2011,9,46,0,0.01,0,0
16068,19,23,2006,0,137,0.01,0,0,0
16194,222,10,2006,11,137,0,0.01,0,0
16324,243,3,2007,3,135,0,0,0.01,0
16359,492,15,2009,0,41,0,0.01,0,0
16383,166,1,2014,0,67,0,0,0.01,0
16399,421,3,2007,0,77,0,0,0.01,0
16462,415,10,2015,10,135,0,0.01,0,0
16468,220,20,2008,9,61,0,0.01,0.01,0
16473,14,16,2014,3,63,0,0,0.01,0
16478,454,6,2003,8,126,0.01,0,0,0
16487,443,3,2008,3,134,0.01,0,0,0
16560,136,16,2014,1,95,0,0,0.01,0
16563,210,16,2014,1,2,0,0,0.01,0
16576,317,20,2007,6,105,0.01,0,0,0
